time,capacity
1026,10.0
523,10.0
72,10.0
6481,90.0
93,10.0
87,10.0
94,10.0
511,10.0
52,10.0
75,10.0
266,10.0
127,10.0
127,10.0
518,10.0
937,10.0
1021,10.0
524,10.0
55,10.0
2640,90.0
95,10.0
81,10.0
116,10.0
489,10.0
109,10.0
97,10.0
275,10.0
135,10.0
461,10.0
125,10.0
385,10.0
385,10.0
411,10.0
435,10.0
42,10.0
406,10.0
96,90.0
84,10.0
88,10.0
437,10.0
39,10.0
3823,10.0
308,10.0
64,10.0
109,10.0
4325,70.0
30,10.0
34,10.0
31,10.0
2933,70.0
96,10.0
58,10.0
61,10.0
797,10.0
16,20.0
23,20.0
23,20.0
138,20.0
857,20.0
123,10.0
102,10.0
794,10.0
1410,10.0
3337,10.0
489,10.0
397,10.0
412,10.0
404,10.0
417,10.0
385,10.0
457,10.0
41,10.0
403,10.0
97,90.0
89,10.0
103,10.0
466,10.0
41,10.0
3425,10.0
317,10.0
60,10.0
99,10.0
876,20.0
96,10.0
120,10.0
131,10.0
770,10.0
2096,10.0
3550,10.0
550,10.0
481,10.0
462,10.0
463,10.0
446,10.0
523,10.0
41,10.0
475,10.0
456,10.0
88,90.0
85,10.0
94,10.0
552,10.0
41,10.0
3420,10.0
315,10.0
99,10.0
112,10.0
126,10.0
2146,10.0
175,10.0
492,10.0
432,10.0
425,10.0
430,10.0
435,10.0
480,10.0
42,10.0
407,10.0
432,10.0
6777,90.0
80,10.0
102,10.0
471,10.0
39,10.0
138,10.0
297,10.0
62,10.0
102,10.0
93,10.0
26,10.0
42,10.0
102,10.0
117,10.0
53,10.0
184,10.0
193,10.0
163,10.0
2209,10.0
84,10.0
965,20.0
953,20.0
980,20.0
1300,10.0
2373,10.0
957,20.0
887,20.0
116,10.0
137,10.0
2302,10.0
925,20.0
160,10.0
31,20.0
757,20.0
933,20.0
522,10.0
449,10.0
444,10.0
449,10.0
481,10.0
501,10.0
45,10.0
433,10.0
445,10.0
5780,90.0
81,10.0
97,10.0
